Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),mmd
FLI1_DRGX,ETS_Homeo,0.300277016509017,0.35624299630146294,0.28772881521449,0.34544692484999606,0.17295342441154557
FLI1_HOXB13,ETS_Homeo,0.30602312536420895,0.272777355490175,0.325233249745407,0.32288503153090004,0.3984634839905098
ELK1_FOXI1,ETS_Fox,0.491891150550336,0.54417991880326,0.484158700811301,0.55626112232638,0.7631139011228054
ELK1_FOXI1_2,ETS_Fox,0.520345580794146,0.5373246002619511,0.515755078001557,0.46904415546378797,0.738653095864423
ELK1_FOXI1_3,ETS_Fox,0.591204352511793,0.499377708778633,0.530156721343608,0.47041470524960294,0.3067352955912585
ELK1_FOXI1_4,ETS_Fox,0.41964722899938106,0.5277653525511661,0.342855675441785,0.43687824357191396,0.41259369338192425
ELK1_FOXI1_5,ETS_Fox,0.508973686119517,0.518836589278262,0.4751804316368571,0.506706572467744,0.6546622418924041
ELK1_FOXI1_6,ETS_Fox,0.485366615672125,0.499915612009377,0.45556089840672204,0.45629565187111104,0.6737216340354631
ERF_FOXI1,ETS_Fox,0.540254475003854,0.562227437087389,0.5096722408825399,0.5488700047199071,0.7613351268555438
ERF_FOXI1_2,ETS_Fox,0.297892887030637,0.34192583931262704,0.278566709678841,0.369239847751629,0.47149814224853065
ERF_FOXI1_3,ETS_Fox,0.27761166151960803,0.37585534180369706,0.26195501472396804,0.358976330525008,0.2673065485610998
ERF_FOXO1,ETS_Fox,0.497712674532516,0.42281959822053095,0.501748467896438,0.36318141944429294,0.6649085163326887
ETV2_FOXI1,ETS_Fox,0.5561831254742221,0.512209376996984,0.527407754830177,0.47791370580502207,0.7865617192580745
ETV2_FOXI1_2,ETS_Fox,0.286102669378201,0.576905203750356,0.31810025567238104,0.544442818453599,0.401971442864834
ETV2_FOXI1_3,ETS_Fox,0.26945603611840097,0.4597639447819071,0.274911019964868,0.41839794987067996,0.36156456700649087
ETV2_FOXI1_4,ETS_Fox,0.272240829356718,0.53365556461978,0.31301581549568896,0.49258296983618394,0.27128913592136156
ETV2_FOXI1_5,ETS_Fox,0.560712028521819,0.5412573348024029,0.529303174159961,0.512694525256387,0.794316304211384
ETV2_FOXO6,ETS_Fox,0.549943142069157,0.47782604134928097,0.49719299300065206,0.44648895086487,0.7886548234340315
ETV5_FOXI1,ETS_Fox,0.326428580649935,0.41311758672183796,0.379228970280501,0.42640998828157595,0.46148212998633703
ETV5_FOXI1_2,ETS_Fox,0.443227026046868,0.403691329154291,0.43566995445615997,0.431414375279525,0.23744812997538198
ETV5_FOXI1_3,ETS_Fox,0.48531873948158205,0.496821662913069,0.452659206616334,0.486214717973193,0.3038553519168123
ETV5_FOXO1,ETS_Fox,0.44473124195166996,0.327999631102162,0.393006134113264,0.293972325263891,0.660705414889462
ETV5_FOXO1_2,ETS_Fox,0.26598019101151804,0.449241430977474,0.24343622273111998,0.43145366230692295,0.14964204094526398
FLI1_FOXI1,ETS_Fox,0.5411613850999509,0.40132737186442397,0.559467210267662,0.40378427003209294,0.565193206258543
FLI1_FOXI1_2,ETS_Fox,0.44162401694041603,0.38217825190049104,0.44130039566024604,0.368619375108391,0.5942776805419354
FLI1_FOXI1_3,ETS_Fox,0.322212719893096,0.47852045823005795,0.2834545634893,0.485991739012114,0.4829013615360822
FLI1_FOXI1_4,ETS_Fox,0.406434108586564,0.38874799323876397,0.43852747270344605,0.360287206572554,0.21597350829431158
ELK1_ONECUT2,ETS_HomeoCut,0.333600329423847,0.535948099103367,0.326364194534652,0.525106789675272,0.32705736175470873
ERF_ONECUT2,ETS_HomeoCut,0.290984456160467,0.469174634597257,0.266089679869382,0.454233543177086,0.2402769593898765
ETV2_ONECUT2,ETS_HomeoCut,0.4421814210018571,0.353478269079085,0.440709078530623,0.342613892417069,0.6648202048281212
ETV2_ONECUT2_2,ETS_HomeoCut,0.4698746870052029,0.30532334862413696,0.469316437537805,0.327638795176819,0.623021511820206
ETV2_ONECUT2_3,ETS_HomeoCut,0.262247999847897,0.49140529175059794,0.271500140655953,0.497487277833699,0.16869758322398462
ETV2_ONECUT2_4,ETS_HomeoCut,0.263785563799327,0.43596174035580104,0.306380578521625,0.460164291124302,0.20880928529497272
ETV2_ONECUT2_5,ETS_HomeoCut,0.279707395951604,0.40531261581066497,0.31015892510554,0.44409242862053705,0.31775516129732745
FLI1_ONECUT2,ETS_HomeoCut,0.251702214519705,0.420935927480255,0.311972880333368,0.43016192499282396,0.3556386649550645
ELK1_PAX1,ETS_PAX,0.27990772407717796,0.563269443832419,0.304328003058373,0.516240456330766,0.33134105320326
ELK1_PAX5,ETS_PAX,0.450899033521666,0.712503420284912,0.40633024639376,0.620283860495597,0.23793105752075105
ELK1_PAX9,ETS_PAX,0.47626863141178205,0.491497889024732,0.4247311083039,0.45097953097922794,0.4513756983691518
ETV2_PAX5,ETS_PAX,0.27167260030242396,0.505412503757219,0.274924789356051,0.497644891103995,0.3343629067803608
ELK1_SREBF2,ETS_bHLH,0.5862649989131011,0.37603837371163795,0.538057381686309,0.364530516549007,0.78898089489853
ELK1_SREBF2_2,ETS_bHLH,0.135135334322441,0.553041675923938,0.0864846891910862,0.536123163528177,0.17466237593126518
ERF_CLOCK,ETS_bHLH,0.35138269999020005,0.479246621866692,0.33838721513245695,0.48187820523113795,0.2209929853330167
ERF_FIGLA,ETS_bHLH,0.284227323211416,0.443306771173694,0.284227323211416,0.443306771173694,0.2784103528143672
ERF_HES7,ETS_bHLH,0.473324897598617,0.38873213139793394,0.43515947670291,0.34906051941646193,0.6953598754166831
ERF_HES7_2,ETS_bHLH,0.328313628306023,0.504884209579184,0.31538703077325203,0.492783399927738,0.27121316220200786
ERF_HES7_3,ETS_bHLH,0.37887425699536204,0.527569364895652,0.29817711618722903,0.428272977218675,0.3374279391125075
ERF_MAX,ETS_bHLH,0.48739256278861104,0.480584525818403,0.494803935304074,0.313848586968323,0.6842118291184366
ERF_NHLH1,ETS_bHLH,0.594546127774959,0.41961509462975505,0.5670292518081329,0.404814174079674,0.6916416480078852
ERF_SREBF2,ETS_bHLH,0.24268818579939302,0.586412634775521,0.274131960026381,0.556573153789537,0.14258508018246874
ERF_SREBF2_2,ETS_bHLH,0.5436599567314879,0.350320125291381,0.525500884418424,0.358939557620096,0.7965507862140725
ETV2_BHLHA15,ETS_bHLH,0.33682480623838296,0.45083867536649397,0.32938068576178997,0.42086576075286797,0.2842376367437808
ETV2_CLOCK,ETS_bHLH,0.269881959280868,0.45665045625510403,0.268498904582411,0.40641172781192897,0.19322437133788828
ETV2_FIGLA,ETS_bHLH,0.295547537625919,0.504624160520083,0.305945338685457,0.50490269356728,0.3277547294479063
ETV2_FIGLA_2,ETS_bHLH,0.40049868753968393,0.26960865192480704,0.3399940717545769,0.24997054148936898,0.6190280254120606
ETV2_HES7,ETS_bHLH,0.535316730787801,0.437054475968432,0.49746149735199696,0.364545310241014,0.7408632972317899
ETV2_HES7_2,ETS_bHLH,0.32878888770202197,0.493249881033643,0.326676244678199,0.486423430698615,0.27245043492833665
ETV2_HES7_3,ETS_bHLH,0.41202787643291205,0.477659198921144,0.32710223442498,0.437996731052995,0.30802577956659644
ETV2_NHLH1,ETS_bHLH,0.314250193436659,0.48086734590448,0.29138704819961,0.498686154536084,0.524166996812777
ETV2_NHLH1_2,ETS_bHLH,0.40266362694464103,0.49311715095897707,0.462396092957424,0.335228977910818,0.6430537216327121
ETV2_SREBF2,ETS_bHLH,0.30689545512664695,0.440822356436705,0.286726916558352,0.45798937396168393,0.31314324180957304
ETV2_SREBF2_2,ETS_bHLH,0.358067717428099,0.500622978137389,0.33789609798861,0.48160517203049397,0.2550680563655783
ETV2_TCF3,ETS_bHLH,0.20635701066439102,0.37611003937619897,0.267113500407066,0.40971903605602705,0.26926339113127196
ETV5_CLOCK,ETS_bHLH,0.243334481458526,0.379610882293635,0.257087905065712,0.362000209321576,0.29395014025341115
ETV5_FIGLA,ETS_bHLH,0.3780138328155921,0.478974092222299,0.37780487901023296,0.48593178015504906,0.39318672125447823
ETV5_HES7,ETS_bHLH,0.290726174186904,0.38503307170432105,0.294295688602746,0.449901761302274,0.4118001151314699
ETV5_HES7_2,ETS_bHLH,0.274268267280509,0.442454297384933,0.26516897872058703,0.42861179152587503,0.6559723641667625
ETV5_TCF3,ETS_bHLH,0.461696205716241,0.32742543248657696,0.43028914870954604,0.298864895860163,0.5502301758192158
ETV5_TCF3_2,ETS_bHLH,0.23183091225649102,0.35790252922158794,0.23995196312133601,0.34007486497762,0.21281560922164483
FLI1_BHLHA15,ETS_bHLH,0.41811503420926793,0.410390357604364,0.39688301251061997,0.38494402849690507,0.5030733330994835
