Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),motif_distance,deepSyn_motif_distance,diff_distance,family_name
ETV5_FOXI1,ETS_Fox,0.12277513248520501,0.40601701533400497,0.13790134577518898,0.373842211206228,0.17338151943125382,0.14393791387624408,0.029687417397708863,Fox_ETS
ETV5_FOXI1_2,ETS_Fox,0.125737222302649,0.327500678972283,0.160930869420051,0.371111439165094,0.23744812997538198,0.11707959226190302,0.09531479284118806,Fox_ETS
ETV5_FOXI1_3,ETS_Fox,0.22051214003019,0.30001123454839,0.163934353191156,0.31246698253670896,0.3038553519168123,0.1590235792684897,0.14538840520211493,Fox_ETS
ETV5_FOXO1,ETS_Fox,0.144758143856554,0.37771193862763597,0.15543801315636901,0.35126183641305997,0.2047189305013134,0.12694828849849565,0.07777064200281777,Fox_ETS
ETV5_FOXO1_2,ETS_Fox,0.155605401277375,0.40011871095963897,0.11378850522365101,0.387951749043872,0.13407891794766244,0.10874922884749233,0.2674508138917901,Fox_ETS
FLI1_FOXI1,ETS_Fox,0.33650474658281104,0.36024083915464,0.35171180715769396,0.4175958788617101,0.7493918578941299,0.4517149364193662,0.14580463796002294,Fox_ETS
FLI1_FOXI1_2,ETS_Fox,0.282576062032513,0.41300119942346997,0.26187394883436105,0.39932051598784996,0.33769083947935746,0.2056650786215131,0.20943540081299586,Fox_ETS
FLI1_FOXI1_3,ETS_Fox,0.18117836590720696,0.45245610337071,0.188188668762106,0.40511960766733707,0.383896736979746,0.13164850563115027,0.3612748225082326,Fox_ETS
FLI1_FOXI1_4,ETS_Fox,0.15680245337182,0.446053313371912,0.13995909209787602,0.41823906545746603,0.2320485410116259,0.1225548349916006,0.18695779549934066,Fox_ETS
ELK1_ONECUT2,ETS_HomeoCut,0.186594076586719,0.523802792015716,0.168882463747794,0.486619436388655,0.22915452386402194,0.14743507529635402,0.08908553040857202,ETS_HomeoCut
ERF_ONECUT2,ETS_HomeoCut,0.144503626864547,0.44219322188572496,0.140487466423293,0.416629893028,0.20435898885726478,0.11749735094372835,0.0868616379135364,ETS_HomeoCut
