name1,name2,nameOut,case,isRC,loc1,loc2,quality1,quality2,quality,overlapLen
HOXB2,PITX1,HOXB2_PITX1_3,2,1,8,-1,0.22567137382482,0.11452421243633501,0.34019558626115504,-1
HOXB2,PITX1,HOXB2_PITX1_4,2,1,7,-1,0.192677802382197,0.10388554022664699,0.296563342608844,0
HOXB2,RFX5,HOXB2_RFX5,1,0,-1,4,0.146262923461829,0.502831990065435,0.6490949135272641,5
HOXB2,RFX5,HOXB2_RFX5_2,1,1,7,10,0.18568796568197002,0.46628032599650704,0.651968291678477,7
HOXB2,RFX5,HOXB2_RFX5_3,3,1,8,-1,0.12116914564457999,0.409352171427301,0.5305213170718811,7
HOXB2,SOX15,HOXB2_SOX15,2,0,10,10,0.225072770640864,0.651784534013154,0.876857304654019,15
HOXB2,SOX15,HOXB2_SOX15_2,2,0,9,9,0.148210154468781,0.5972858830978021,0.745496037566583,15
HOXB2,SOX15,HOXB2_SOX15_3,2,0,8,8,0.18446246661092103,0.5705667572355411,0.7550292238464621,15
HOXB2,SOX15,HOXB2_SOX15_4,3,0,-1,-10,0.205779542279621,0.567991666679904,0.7737712089595251,6
HOXB2,SOX15,HOXB2_SOX15_5,3,0,-1,-10,0.22303232772536397,0.6130370641248721,0.8360693918502359,6
HOXB2,SPDEF,HOXB2_SPDEF,2,0,11,0,0.1216532248656,0.11411279975614999,0.23576602462175,0
HOXB2,TBX21,HOXB2_TBX21,4,1,-2,3,0.27329468286250697,0.316274725542427,0.589569408404933,5
HOXB2,TBX21,HOXB2_TBX21_2,2,0,10,-1,0.232688394009193,0.33896869657879,0.5716570905879829,-1
HOXB2,TBX21,HOXB2_TBX21_3,3,1,5,-1,0.377648587624052,0.31463829226760603,0.6922868798916579,4
HOXB2,TBX3,HOXB2_TBX3,4,1,-2,4,0.31257709753984697,0.173673455950613,0.48625055349046,4
HOXB2,TCF3,HOXB2_TCF3,2,0,9,-1,0.210260586643005,0.121328323901784,0.331588910544789,0
HOXB2,TCF3,HOXB2_TCF3_2,3,0,9,-1,0.16234710903516,0.13656773759979,0.29891484663495,0
HOXC10,EOMES,HOXC10_EOMES,3,0,6,-4,0.26818414081992203,0.257515356726691,0.525699497546613,3
HOXC10,TBX21,HOXC10_TBX21,3,0,6,-1,0.25276025457520196,0.328868476236795,0.5816287308119971,3
HOXD12,ELK1,HOXD12_ELK1,2,0,8,1,0.384519548842735,0.22805625626576898,0.612575805108504,3
HOXD12,ELK1,HOXD12_ELK1_2,2,0,7,0,0.20762160670604698,0.20141803106634,0.40903963777238705,3
HOXD12,ELK3,HOXD12_ELK3,3,1,8,0,0.22307121002777497,0.111968594725819,0.335039804753593,2
HOXD12,ELK3,HOXD12_ELK3_2,2,0,7,0,0.24788878746472304,0.153764110052813,0.40165289751753597,3
HOXD12,ELK3,HOXD12_ELK3_3,2,0,7,0,0.312899363303864,0.19799465702975,0.510894020333615,3
HOXD12,EOMES,HOXD12_EOMES,3,0,22,12,0.404748189322941,0.27478285117443496,0.679531040497376,3
HOXD12,EOMES,HOXD12_EOMES_2,3,1,15,12,0.43093727871992893,0.6097645984628579,1.04070187718279,10
HOXD12,EOMES,HOXD12_EOMES_3,3,0,6,-4,0.363853570869846,0.25930175572486697,0.623155326594714,3
HOXD12,ETV1,HOXD12_ETV1,2,0,7,0,0.194849504111928,0.201775666934494,0.39662517104642203,3
HOXD12,ETV1,HOXD12_ETV1_2,2,0,7,0,0.366629632154099,0.24046457359226,0.607094205746359,3
HOXD12,ETV4,HOXD12_ETV4,2,0,7,0,0.17715029321503897,0.194266251992642,0.371416545207682,3
HOXD12,ETV4,HOXD12_ETV4_2,2,0,7,0,0.37524119623708596,0.22715830927420702,0.602399505511293,3
HOXD12,FIGLA,HOXD12_FIGLA,4,0,0,10,0.24445958497753895,0.176376950997068,0.420836535974607,-1
